match_no,date,stage,venue,city,innings,batting_team,bowling_team,batting_team_full,bowling_team_full,over,legal_ball_number,is_legal_delivery,striker,bowler,runs_of_bat,extras,wide,legbyes,byes,noballs,runs_this_ball,is_wicket,wicket_type,player_dismissed,fielder,total_runs,total_wickets,wickets_remaining,balls_bowled,balls_remaining,crr,is_boundary,is_dot,phase,target,runs_to_win,rrr
2,"Mar 29, 2026",League stage,"Wankhede Stadium, Mumbai",Mumbai,1,KKR,MI,Kolkata Knight Riders,Mumbai Indians,7.5,46,0,Ajinkya Rahane,AM Ghazanfar,0,1,1,0,0,0,1,0,,,,99,1,9,46,74,12.91,0,0,Middle,,,
2,"Mar 29, 2026",League stage,"Wankhede Stadium, Mumbai",Mumbai,1,KKR,MI,Kolkata Knight Riders,Mumbai Indians,7.5,47,1,Ajinkya Rahane,AM Ghazanfar,1,0,0,0,0,0,1,0,,,,100,1,9,47,73,12.77,0,0,Middle,,,
2,"Mar 29, 2026",League stage,"Wankhede Stadium, Mumbai",Mumbai,1,KKR,MI,Kolkata Knight Riders,Mumbai Indians,7.6,48,1,Cameron Green,AM Ghazanfar,1,0,0,0,0,0,1,0,,,,101,1,9,48,72,12.62,0,0,Middle,,,
2,"Mar 29, 2026",League stage,"Wankhede Stadium, Mumbai",Mumbai,1,KKR,MI,Kolkata Knight Riders,Mumbai Indians,8.1,49,1,Cameron Green,Shardul Thakur,2,0,0,0,0,0,2,0,,,,103,1,9,49,71,12.61,0,0,Middle,,,
2,"Mar 29, 2026",League stage,"Wankhede Stadium, Mumbai",Mumbai,1,KKR,MI,Kolkata Knight Riders,Mumbai Indians,8.2,50,1,Cameron Green,Shardul Thakur,4,0,0,0,0,0,4,0,,,,107,1,9,50,70,12.84,1,0,Middle,,,
2,"Mar 29, 2026",League stage,"Wankhede Stadium, Mumbai",Mumbai,1,KKR,MI,Kolkata Knight Riders,Mumbai Indians,8.3,51,1,Cameron Green,Shardul Thakur,1,0,0,0,0,0,1,0,,,,108,1,9,51,69,12.71,0,0,Middle,,,
2,"Mar 29, 2026",League stage,"Wankhede Stadium, Mumbai",Mumbai,1,KKR,MI,Kolkata Knight Riders,Mumbai Indians,8.4,52,1,Ajinkya Rahane,Shardul Thakur,1,0,0,0,0,0,1,0,,,,109,1,9,52,68,12.58,0,0,Middle,,,
2,"Mar 29, 2026",League stage,"Wankhede Stadium, Mumbai",Mumbai,1,KKR,MI,Kolkata Knight Riders,Mumbai Indians,8.5,53,1,Cameron Green,Shardul Thakur,0,0,0,0,0,0,0,1,caught,Cameron Green,Sherfane Rutherford,109,2,8,53,67,12.34,0,1,Middle,,,
2,"Mar 29, 2026",League stage,"Wankhede Stadium, Mumbai",Mumbai,1,KKR,MI,Kolkata Knight Riders,Mumbai Indians,8.6,54,1,Angkrish Raghuvanshi,Shardul Thakur,1,0,0,0,0,0,1,0,,,,110,2,8,54,66,12.22,0,0,Middle,,,
2,"Mar 29, 2026",League stage,"Wankhede Stadium, Mumbai",Mumbai,1,KKR,MI,Kolkata Knight Riders,Mumbai Indians,9.1,55,1,Angkrish Raghuvanshi,Trent Boult,1,0,0,0,0,0,1,0,,,,111,2,8,55,65,12.11,0,0,Middle,,,
2,"Mar 29, 2026",League stage,"Wankhede Stadium, Mumbai",Mumbai,1,KKR,MI,Kolkata Knight Riders,Mumbai Indians,9.2,56,1,Ajinkya Rahane,Trent Boult,2,0,0,0,0,0,2,0,,,,113,2,8,56,64,12.11,0,0,Middle,,,
2,"Mar 29, 2026",League stage,"Wankhede Stadium, Mumbai",Mumbai,1,KKR,MI,Kolkata Knight Riders,Mumbai Indians,9.3,57,1,Ajinkya Rahane,Trent Boult,1,0,0,0,0,0,1,0,,,,114,2,8,57,63,12,0,0,Middle,,,
2,"Mar 29, 2026",League stage,"Wankhede Stadium, Mumbai",Mumbai,1,KKR,MI,Kolkata Knight Riders,Mumbai Indians,9.4,58,1,Angkrish Raghuvanshi,Trent Boult,4,0,0,0,0,0,4,0,,,,118,2,8,58,62,12.21,1,0,Middle,,,
2,"Mar 29, 2026",League stage,"Wankhede Stadium, Mumbai",Mumbai,1,KKR,MI,Kolkata Knight Riders,Mumbai Indians,9.5,59,1,Angkrish Raghuvanshi,Trent Boult,1,0,0,0,0,0,1,0,,,,119,2,8,59,61,12.1,0,0,Middle,,,
2,"Mar 29, 2026",League stage,"Wankhede Stadium, Mumbai",Mumbai,1,KKR,MI,Kolkata Knight Riders,Mumbai Indians,9.6,60,1,Ajinkya Rahane,Trent Boult,1,0,0,0,0,0,1,0,,,,120,2,8,60,60,12,0,0,Middle,,,
2,"Mar 29, 2026",League stage,"Wankhede Stadium, Mumbai",Mumbai,1,KKR,MI,Kolkata Knight Riders,Mumbai Indians,10.1,61,1,Ajinkya Rahane,AM Ghazanfar,6,0,0,0,0,0,6,0,,,,126,2,8,61,59,12.39,1,0,Middle,,,
2,"Mar 29, 2026",League stage,"Wankhede Stadium, Mumbai",Mumbai,1,KKR,MI,Kolkata Knight Riders,Mumbai Indians,10.2,62,1,Ajinkya Rahane,AM Ghazanfar,2,0,0,0,0,0,2,0,,,,128,2,8,62,58,12.39,0,0,Middle,,,
